Date,Description,Spent (Negative Value),Gained (Positive Value,Total Expenditures,Total Gained,Amount Remaining for the month
1/2/2026,Laundry,-3,,-645.36,0,154.64
1/2/2026,Mixed Rice,-7.5,,,,
1/2/2026,Lemon Tea,-1.9,,,,
1/2/2026,Indian Meal,-13.68,,,,
1/2/2026,Ice cream,-2.25,,,,
2/2/2026,Salad Rice,-7.5,,,,
2/2/2026,Chicken Drumlets,-4.51,,,,
2/2/2026,Dry noodles,-12.3,,,,
3/2/2026,Egg chicken rice,-6.5,,,,
3/2/2026,Red Bull,-2.5,,,,
3/2/2026,Mixed Rice,-6.3,,,,
4/2/2026,Malaysian noodles,-5.8,,,,
4/2/2026,Sundae,-2,,,,
4/2/2026,Salted egg rice,-7.1,,,,
4/2/2026,Cider,-4,,,,
5/2/2026,Mixed rice,-6.6,,,,
5/2/2026,Sundae,-2,,,,
5/2/2026,Mcdonalds,-13.3,,,,
6/2/2026,Pork Fried Rice,-4,,,,
6/2/2026,Apples,-2,,,,
6/2/2026,Haircut,-12,,,,
6/2/2026,Fish and Chips,-16.45,,,,
6/2/2026,Cider,-4,,,,
7/2/2026,Laundry,-6,,,,
7/2/2026,Indian Rice,-7.5,,,,
7/2/2026,Nandos,-19.8,,,,
8/2/2026,Indian,-6.12,,,,
8/2/2026,Orange Soda,-2.3,,,,
8/2/2026,Hot Hideout,-13.8,,,,
9/2/2026,Spaghetti with Salad,-8.5,,,,
9/2/2026,Cake,-4.36,,,,
9/2/2026,Mcdonalds,-10.65,,,,
10/2/2026,Mixed Rice,-8.8,,,,
10/2/2026,Red Bull,-2.5,,,,
10/2/2026,Fried Rice,-8.5,,,,
11/2/2026,Malaysian Rice,-7.8,,,,
11/2/2026,Sundae,-2,,,,
11/2/2026,Curry Rice,-7.16,,,,
11/2/2026,Coke Zero,-0.5,,,,
12/2/2026,Mac and Cheese,-7.3,,,,
12/2/2026,Boost,-5.31,,,,
13/2/2026,Mixed rice,-6.8,,,,
13/2/2026,Curry Puff,-1.6,,,,
13/2/2026,Cheese Pretzels,-3,,,,
13/2/2026,Chicken rice,-5.8,,,,
13/2/2026,Apples,-2.95,,,,
14/2/2026,Meat rice,-7.5,,,,
14/2/2026,Laundry,-6,,,,
14/2/2026,Nandos,-19.7,,,,
14/2/2026,SimplyGo,-20,,,,
15/2/2026,Plagiarism check,-3.5,,,,
15/2/2026,Indian bread,-7.29,,,,
15/2/2026,Indian rice,-6,,,,
15/2/2026,Soda,-1.7,,,,
16/2/2026,Kung Pao Chicken,-5.8,,,,
16/2/2026,Cake,-4.36,,,,
16/2/2026,Mcdonalds,-11.4,,,,
17/2/2026,Bento,-6.3,,,,
17/2/2026,Collins,-27.9,,,,
18/2/2026,Indian restaurant,-5.85,,,,
18/2/2026,Ice cream,-1.8,,,,
18/2/2026,Dry spicy noodles,-11.68,,,,
19/2/2026,Mixed rice,-6.9,,,,
19/2/2026,Boost,-5.31,,,,
20/2/2026,Fried noodles,-6,,,,
20/2/2026,Nandos,-14.4,,,,
20/2/2026,Apples,-2.65,,,,
20/2/2026,Cider,-4,,,,
21/2/2026,Laundry,-6,,,,
21/2/2026,Malaysian noodle,-5.2,,,,
21/2/2026,Hot Hideout,-14.45,,,,
22/2/2026,Indian rice,-10.62,,,,
22/2/2026,Soda,-2.3,,,,
22/2/2026,Fried rice,-9.2,,,,
22/2/2026,Yogurt,-3.2,,,,
23/2/2026,Membership renewal,-3,,,,
23/2/2026,Salad Rice,-7.5,,,,
23/2/2026,Chicken legs,-0.68,,,,
23/2/2026,Mixed rice,-5.3,,,,
23/2/2026,Sardine,-1.6,,,,
24/2/2026,Red Bull,-2.5,,,,
24/2/2026,Indian rice,-7.63,,,,
24/2/2026,Dominos,-11,,,,
24/2/2026,Plagiarism check,-3.5,,,,
25/2/2026,Malaysian Fried Rice,-7.8,,,,
25/2/2026,Plagiarism check,-3.5,,,,
25/2/2026,Cakes,-4.91,,,,
26/2/2026,Malaysian noodles,-6.5,,,,
26/2/2026,Coke float,-3.55,,,,
26/2/2026,Classic Cheeseburger,-15.9,,,,
26/2/2026,Cider,-4,,,,
27/2/2026,Laundry,-6,,,,
27/2/2026,Fried noodles,-14.04,,,,
27/2/2026,Strawberry Smoothie,-3.2,,,,
